Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"X_94732_2",0.415,3,238.64,85.2,0.99599,0,0,0,0,0,0,0,0
"X_28248",0.415,1,237.369,-34.6,0.99069,0,0,0,0,0,0,0,0
"X_28248_1",0.415,1,236.604,-34.6,0.98749,0,0,0,0,0,0,0,0
"X_28248_2",0.415,1,236.604,-34.6,0.98749,0,0,0,0,0,0,0,0
"X_28248_3",0.415,1,236.604,-34.6,0.98749,0,0,0,0,0,0,0,0
"X_28248_4",0.415,1,236.604,-34.6,0.98749,0,0,0,0,0,0,0,0
"X_14978",0.415,3,237.496,85.1,0.99122,0,0,0,0,0,0,0,0
"X_14978_1",0.415,3,237.171,85.1,0.98986,0,0,0,0,0,0,0,0
"X_14978_2",0.415,3,237.171,85.1,0.98986,0,0,0,0,0,0,0,0
"X_14978_3",0.415,3,237.171,85.1,0.98986,0,0,0,0,0,0,0,0
"X_44586",0.415,2,238.324,-154.7,0.99467,0,0,0,0,0,0,0,0
"X_44586_1",0.415,2,237.664,-154.7,0.99192,0,0,0,0,0,0,0,0
"X_8128",0.415,1,237.946,-34.4,0.9931,0,0,0,0,0,0,0,0
"X_8128_1",0.415,1,237.263,-34.4,0.99024,0,0,0,0,0,0,0,0
"X_52513",0.415,2,230.536,-156.1,0.96217,0,0,0,0,0,0,0,0
"X_52513_1",0.415,2,229.83,-156.0,0.95922,0,0,0,0,0,0,0,0
"X_52513_2",0.415,2,229.83,-156.0,0.95922,0,0,0,0,0,0,0,0
"X_52513_3",0.415,2,229.83,-156.0,0.95922,0,0,0,0,0,0,0,0
"X_52513_4",0.415,2,229.83,-156.0,0.95922,0,0,0,0,0,0,0,0
"X_21650",0.415,1,237.543,-34.5,0.99141,0,0,0,0,0,0,0,0
"X_21650_1",0.415,1,237.226,-34.5,0.99009,0,0,0,0,0,0,0,0
"X_21650_2",0.415,1,237.226,-34.5,0.99009,0,0,0,0,0,0,0,0
"X_21650_3",0.415,1,237.226,-34.5,0.99009,0,0,0,0,0,0,0,0
"X_39745",0.415,3,234.305,84.7,0.9779,0,0,0,0,0,0,0,0
"X_39745_1",0.415,3,233.864,84.7,0.97606,0,0,0,0,0,0,0,0
"X_39745_2",0.415,3,233.864,84.7,0.97606,0,0,0,0,0,0,0,0
"X_39745_3",0.415,3,233.864,84.7,0.97606,0,0,0,0,0,0,0,0
"X_28241",0.415,1,237.075,-34.6,0.98946,0,0,0,0,0,0,0,0
"X_28241_1",0.415,1,236.558,-34.5,0.9873,0,0,0,0,0,0,0,0
"X_28241_2",0.415,1,236.558,-34.5,0.9873,0,0,0,0,0,0,0,0
"X_28241_3",0.415,1,236.558,-34.5,0.9873,0,0,0,0,0,0,0,0
